name;manufacturer;product_type;price;photo;max_load;power_reserve;max_speed;watt_power
MIDWAY Yamato 0809;7;1;19900.00;hrrpv3r5.kis.webp;120;20;30;350
Xiaomi Mijia M365 Pro;1;1;46488.00;ow2ovevl.oib.webp;100;45;25;300
MIDWAY Yamato 0809;7;1;19900.00;4osmrt43.5mz.webp;120;20;30;350
HIPER Slim VX900;2;1;12990.00;kthsojex.nog.webp;110;16;24;250
MIDWAY Air PRO;7;1;57900.00;h0kh5rjn.mt0.webp;120;45;40;1200
OKAI ES520;5;1;29990.00;nb4hsa2j.jdd.webp;120;55;25;300
MIDWAY Yamato 0810;7;1;20900.00;u53rxet2.3me.webp;100;25;25;250
KUGOO S8 Pro;3;1;23835.00;zpupq4if.pbb.webp;120;23;30;350
KUGOO First;3;2;10800.00;fe1swp3f.ari.webp;50;8;16;100
Ninebot KickScooter C20;6;2;14490.00;2rh1msfi.oqr.webp;75;20;20;150
Ninebot KickScooter F40;6;1;39990.00;dwpi42a5.hyx.webp;120;40;30;350
HIPER Slim VX561;2;1;10990.00;hk4fhn2j.p55.webp;100;15;20;230
Xiaomi Mi Electric Scooter Pro 2;1;1;75900.00;24em4z0h.c31.webp;100;45;25;600
TRIBE Himba Pro;4;1;35990.00;arz4b5vg.5dh.webp;120;25;25;350
G1 plus X. X.;14;2;11760.00;401f1bsz.py1.webp;50;8;6;80
KUGOO Max Speed;3;1;35072.00;mmb4h5h0.3j4.webp;120;35;60;600
Mizar Birdman;8;1;14000.00;4zr0ezzo.ckl.webp;120;60;25;300
Tordin Hermes Black;9;1;29990.00;ui42tewu.dkt.webp;120;25;30;350
MIDWAY i-One;7;1;22900.00;bvo4ipco.254.webp;120;30;30;350
KUGOO G2 Pro;3;1;62706.00;n5gmioj3.few.webp;120;23;45;1000
MIDWAY i-One PRO;7;1;24900.00;djmy2m23.mlg.webp;120;40;30;350
SmartONE 1S Pro;10;1;27900.00;allldt2f.lnv.webp;120;40;30;350
Ninebot KickScooter C10;6;2;16990.00;vubv1mna.gwr.webp;60;10;18;120
KUGOO S3 Jilong;3;1;22990.00;xfjb4cel.xzl.webp;120;25;30;350
Accesstyle Tsunami 30S;11;1;23990.00;bjz53ztc.xjl.webp;120;30;25;350
Accesstyle Frost 20S;11;1;13990.00;mspee5zu.04e.webp;80;15;18;150
Xiaomi Mi Electric Scooter Essential;1;1;31500.00;a2detnud.gal.webp;100;20;20;250
KUGOO S1 6 Ah;3;1;22900.00;wq3vvi0v.1ib.webp;100;25;25;350
Mizar Ray Pro;8;1;17710.00;qgffkiao.z4x.webp;100;20;20;250
KUGOO G2 Pro;3;1;62990.00;1bcrqogr.3db.webp;130;50;40;1000
KUGOO Max;3;1;42900.00;qe4jx2q5.qjo.webp;140;30;50;600
Halten Kiddy;12;2;4990.00;glnnpkbj.dat.webp;23;6;3,5;20
KUGOO Kirin S8 Pro;3;1;25999.00;opi1skl5.y12.webp;100;25;25;350
Halten Flash;12;1;43900.00;hd5ihhxj.gpy.webp;100;15;20;540
Ninebot KickScooter ES1L;6;1;24452.00;t3hywacj.nig.webp;100;20;30;250
KUGOO M4;3;1;41990.00;ng22xyw0.nz0.webp;120;30;20;500
HIPER Slim VX561;2;1;10990.00;mya2pumt.fak.webp;100;15;20;230
Ninebot KickScooter A6;6;2;7590.00;3qe51kzc.u51.webp;40;5;12;50
